"Freq [GHz]","VSWR(P1) []"
3.3,1.59728774210133
3.325,1.61087790443222
3.35,1.62428932433784
3.375,1.63751257583523
3.4,1.6505368097744
3.425,1.66334945646316
3.45,1.67593596920101
3.475,1.68827961370778
3.5,1.70036130819256
3.525,1.71215951864796
3.55,1.7236502138004
3.575,1.7348068839176
3.6,1.74560062728958
3.625,1.75600030758143
3.65,1.76597278433622
3.675,1.77548321763498
3.7,1.78449544626734
3.725,1.79297243673263
3.75,1.80087679801227
3.775,1.80817135440498
3.8,1.81481976591184
