"Freq [GHz]","S(P1,P1) []"
3.3,-0.110606988514379 - 0.201619523076823i
3.325,-0.119191176354799 - 0.201338918869568i
3.35,-0.127806079695279 - 0.200640820948689i
3.375,-0.136431733618458 - 0.199524430158584i
3.4,-0.145048391049772 - 0.197989219121843i
3.425,-0.153636345438626 - 0.196034900626634i
3.45,-0.162175755912466 - 0.193661441755338i
3.475,-0.170646482807657 - 0.190869121417231i
3.5,-0.179027940804882 - 0.18765862802154i
3.525,-0.18729897622082 - 0.184031193208979i
3.55,-0.195437774327355 - 0.179988756809293i
3.575,-0.203421801865302 - 0.17553415747969i
3.6,-0.211227789163099 - 0.17067134278904i
3.625,-0.218831755429154 - 0.165405591845444i
3.65,-0.226209079827424 - 0.15974374293633i
3.675,-0.233334619842918 - 0.153694418092194i
3.7,-0.24018287718132 - 0.14726823604178i
3.725,-0.246728210024022 - 0.140478004752449i
3.75,-0.252945088893836 - 0.13333888470422i
3.775,-0.258808391715883 - 0.125868514288628i
3.8,-0.264293731941895 - 0.118087089306085i
