"Theta [deg]","dB(GainTotal) [] - Freq='3.55GHz' Phi='90deg'"
0,-4.82478962397218
5,-4.11431069155934
10,-2.96133599697155
15,-2.01257720209769
20,-1.46150902286249
25,-1.31705933451057
30,-1.52902266707917
35,-2.02011311618575
40,-2.69248355652266
45,-3.43566114008236
50,-4.14704523453535
55,-4.7611542881075
60,-5.26652197455402
65,-5.69289411591902
70,-6.07885598585262
75,-6.44372524315344
80,-6.77568100577955
85,-7.03588821036071
90,-7.17583123256238
95,-7.16161292062293
100,-6.99080033849101
105,-6.6882589753072
110,-6.28449574440531
115,-5.79430206591035
120,-5.2107295666426
125,-4.51893024047415
130,-3.72332201835452
135,-2.87012556546612
140,-2.04717850502231
145,-1.36221843661765
150,-0.918263914490745
155,-0.800725564130678
160,-1.07678090942227
165,-1.79673453626068
170,-2.97025545377912
175,-4.43216129070872
180,-5.46059923137662
