Freq [GHz],"dB(S(P1,P1)) []",|Gamma| [],VSWR [],Mismatch Loss [dB],Return Loss [dB]
3.3,-12.7667292777427,0.2299659496402576,1.5972877421013336,0.23596981605241324,12.7667292777427
3.325,-12.6166429193649,0.23397413697331412,1.6108779044322248,0.24450509850633567,12.6166429193649
3.35,-12.4725161076086,0.23788890902696674,1.6242893243378456,0.2530004620081799,12.4725161076086
3.375,-12.3341156558721,0.24170977673285265,1.637512575835223,0.2614444279437355,12.3341156558721
3.4,-12.2012392872749,0.24543587071698514,1.6505368097744,0.26982474276617263,12.2012392872749
3.425,-12.0737155214219,0.24906587261893304,1.663349456463157,0.27812815442705224,12.0737155214219
3.45,-11.9514031937947,0.2525979608558533,1.6759359692010054,0.28634021230933115,11.9514031937947
3.475,-11.8341906467936,0.2560297709353531,1.6882796137077836,0.294445096143867,11.8341906467936
3.5,-11.721994627279,0.2593583703290936,1.7003613081925621,0.3024254790593394,11.721994627279
3.525,-11.61475892115,0.2625802478620335,1.7121595186479528,0.31026242963124445,11.61475892115
3.55,-11.5124527514361,0.2656913175318007,1.7236502138003988,0.31793535751087354,11.5124527514361
3.575,-11.4150689628828,0.268686936631147,1.7348068839175903,0.3254220068731956,11.4150689628828
3.6,-11.3226220133004,0.2715619379886376,1.7456006272895763,0.33269850146495145,11.3226220133004
3.625,-11.2351457901841,0.2743106760553572,1.7560003075814363,0.3397394444025096,11.2351457901841
3.65,-11.1526912703726,0.27692708643915254,1.7659727843362196,0.3465180750133634,11.1526912703726
3.675,-11.0753240408125,0.2794047583165648,1.7754832176349846,0.35300648389662953,11.0753240408125
3.7,-11.0031216997881,0.28173701893424347,1.7844954462673346,0.3591758859757496,11.0031216997881
3.725,-10.9361711601405,0.2839170291491622,1.7929724367326225,0.3649969496334805,10.9361711601405
3.75,-10.8745658788866,0.2859378886570932,1.800876798012267,0.3704401780829966,10.8745658788866
3.775,-10.8184030410138,0.28779274923421616,1.808171354404982,0.3754763370006606,10.8184030410138
3.8,-10.7677807288241,0.28947493398316515,1.8148197659118377,0.3800769202143621,10.7677807288241
